;;l = 50 см;;l = 30 см;;l = 20 см;
d_мк;d_шт;U;I;U;I;U;I
мм;мм;дел;мА;дел;мА;дел;мА
0,37;0,3;13;14,29;19;35,34;12;35,31
0,37;0,3;30;34,18;26;49,66;21;56,86
0,37;0,3;39;44,46;43;80,82;28;77,75
0,36;0,3;63;70,7;52;98;37;102,27
0,37;0,3;75;84,07;63;118,36;45;123,13
0,37;0,3;91;101,22;77;144,55;55;151,79
0,37;0,25;104;116,31;96;178,38;77;212,31
0,37;0,25;113;126,21;115;213,96;103;284,66
0,36;0,3;128;143,89;138;256,38;132;364,83
;;147;165,93;131;248,31;139;393,3
;;109;122,92;107;203,99;110;311,13
;;78;88,32;81;152,89;84;236,9
;;58;65,76;59;111,31;59;166,87
;;41;45,72;43;81,92;40;115,22
;;30;33,59;20;39,31;27;77,02
